id	PT1_A.TAF1714_DE1	PT2_B.TAF1716.1_DE2	PT3_C.TAF1716.2_DE3	GC1_D.TAF1715_DE1	GC2_E.TAF1717.1_DE2	GC3_F.TAF1717.2_DE3
ENSG00000011260	644	570	631	402	481	476
ENSG00000011275	1211	1257	1333	787	1034	854
ENSG00000011295	912	878	937	611	748	628
ENSG00000011304	2663	3078	2898	1802	2546	1869
ENSG00000011332	41	44	57	24	45	26
ENSG00000011347	84	90	115	73	80	60
ENSG00000011376	761	803	913	573	798	621
ENSG00000011405	2976	2960	3938	2431	3319	2547
ENSG00000011422	102	66	105	49	58	52
ENSG00000011426	785	739	934	389	579	501
ENSG00000011451	335	385	373	244	322	296
ENSG00000011454	1006	1004	1250	780	1131	879
ENSG00000011465	35	50	104	57	193	105
ENSG00000011478	103	108	83	57	79	75
ENSG00000011485	677	774	881	534	733	519
ENSG00000011523	572	590	604	370	511	377
ENSG00000011566	1207	1163	1316	951	1199	1014
ENSG00000011590	28	26	17	18	29	21
ENSG00000011600	3	4	7	3	2	5
ENSG00000011638	243	289	325	286	418	290
ENSG00000011677	7	3	18	11	19	19
ENSG00000012048	486	434	563	254	392	336
ENSG00000012061	615	604	604	352	542	446
ENSG00000012124	21	14	35	6	17	7
ENSG00000012171	564	769	618	450	604	503
ENSG00000012174	226	253	251	190	193	165
ENSG00000012211	48	52	53	39	34	35
ENSG00000012223	6	1	10	6	9	5
ENSG00000012232	941	969	1002	598	825	637
ENSG00000012504	102	150	126	148	263	175
ENSG00000012660	1270	1404	1493	825	1236	882
ENSG00000012779	34	34	35	15	13	20
ENSG00000012817	0	0	0	0	0	0
ENSG00000012822	841	988	1066	813	1046	843
ENSG00000012963	500	516	529	320	442	316
ENSG00000012983	930	915	959	568	808	611
ENSG00000013016	125	117	144	87	150	117
ENSG00000013275	1325	1288	1361	901	1190	997
ENSG00000013288	263	281	312	268	311	207
ENSG00000013293	82	33	53	23	29	50
ENSG00000013297	716	464	455	193	260	282
ENSG00000013306	1069	1147	1164	806	1025	825
ENSG00000013364	129	188	177	166	223	146
ENSG00000013374	799	818	863	521	687	553
ENSG00000013375	806	853	959	632	762	619
ENSG00000013392	216	220	192	124	166	169
ENSG00000013441	1360	1423	1492	1191	1318	878
ENSG00000013503	273	306	296	176	272	186
ENSG00000013523	502	512	560	319	398	353
ENSG00000013561	574	703	747	579	688	509
ENSG00000013563	113	115	116	77	116	97
ENSG00000013573	606	540	622	309	385	342
ENSG00000013583	67	79	80	74	69	88
ENSG00000013588	32	43	66	24	48	22
ENSG00000013619	11	12	14	11	12	13
ENSG00000013725	28	24	45	12	19	21
ENSG00000013810	273	338	329	141	260	155
ENSG00000014123	1129	1306	1405	840	1235	943
ENSG00000014138	294	275	315	184	232	191
ENSG00000014164	100	155	114	83	130	85
ENSG00000014216	934	1209	1141	880	1266	935
ENSG00000014257	16	18	24	35	55	29
ENSG00000014641	2564	3371	3423	2739	3764	2790
ENSG00000014824	1794	1909	2122	1343	1974	1469
ENSG00000014914	189	255	284	253	495	264
ENSG00000014919	775	796	945	603	895	676
ENSG00000015133	970	852	814	481	594	514
ENSG00000015153	261	256	307	186	212	189
ENSG00000015171	1316	1347	1579	1006	1420	1131
ENSG00000015285	12	20	36	20	30	23
ENSG00000015413	27	50	43	42	92	48
ENSG00000015475	232	227	236	129	159	135
ENSG00000015479	8782	8944	10289	6067	8722	6636
ENSG00000015520	76	104	102	72	113	87
ENSG00000015532	514	611	579	345	430	428
ENSG00000015568	980	879	958	635	800	669
ENSG00000015592	40	36	53	22	20	43
ENSG00000015676	806	855	902	624	846	578
ENSG00000016082	4	17	19	7	9	3
ENSG00000016391	114	89	128	97	143	97
ENSG00000016402	16	20	16	12	10	6
ENSG00000016490	12	2	4	6	14	5
ENSG00000016602	5	2	6	8	5	9
ENSG00000016864	890	960	985	685	914	730
ENSG00000017260	1591	1710	1872	1196	1545	1320
ENSG00000017427	67	49	54	20	45	25
ENSG00000017483	39	29	54	26	44	29
ENSG00000017797	743	829	964	544	831	607
ENSG00000018189	1275	1446	1687	1248	1644	1277
ENSG00000018236	76	102	115	104	120	95
ENSG00000018280	15	10	29	15	30	21
ENSG00000018408	789	1086	1048	854	1212	876
ENSG00000018510	866	875	922	708	1047	742
ENSG00000018607	0	0	0	0	0	0
ENSG00000018610	404	433	425	315	432	324
ENSG00000018625	459	300	409	212	299	223
ENSG00000018699	210	227	269	172	206	179
ENSG00000018869	113	105	136	85	121	91
ENSG00000019102	48	60	46	35	59	41
ENSG00000019144	1486	1643	1800	1216	1633	1265
ENSG00000019169	3	1	5	0	5	1
ENSG00000019186	10	2	14	3	17	8
ENSG00000019485	308	313	298	259	314	260
ENSG00000019505	177	146	208	148	194	128
ENSG00000019549	101	96	139	108	140	57
ENSG00000019582	678	920	889	536	807	611
ENSG00000019991	13	4	17	17	22	15
ENSG00000019995	558	454	579	352	492	390
ENSG00000020129	186	232	244	162	215	192
ENSG00000020256	260	256	278	177	248	179
ENSG00000020426	367	381	413	286	380	277
ENSG00000020577	128	148	152	210	202	131
ENSG00000020633	1	5	8	3	10	5
ENSG00000020922	724	658	801	478	587	471
ENSG00000021300	179	219	215	141	177	134
ENSG00000021355	46	86	80	63	95	50
ENSG00000021461	16	4	11	5	12	11
ENSG00000021488	11	17	9	21	44	18
ENSG00000021574	1143	1159	1247	811	1059	824
ENSG00000021645	141	118	197	96	135	127
ENSG00000021762	133	139	134	67	134	77
ENSG00000021776	1402	1450	1609	1040	1474	1113
ENSG00000021826	959	979	1196	657	848	772
ENSG00000021852	4	1	10	1	5	5
ENSG00000022267	186	223	247	109	149	147
ENSG00000022277	933	942	976	654	860	687
ENSG00000022355	5	4	6	4	11	9
ENSG00000022556	58	59	84	92	160	96
ENSG00000022567	317	394	423	264	297	278
ENSG00000022840	852	1035	1033	710	1018	753
ENSG00000022976	166	180	185	132	180	146
ENSG00000023041	498	542	639	355	515	402
ENSG00000023171	188	179	224	128	225	176
ENSG00000023191	721	907	786	584	715	541
ENSG00000023228	2441	2640	3001	2071	2787	2085
ENSG00000023287	1584	1676	1859	1151	1678	1200
ENSG00000023318	856	859	948	604	775	682
ENSG00000023330	700	743	783	534	723	583
ENSG00000023445	32	23	39	20	45	31
ENSG00000023516	930	971	1195	899	1401	814
ENSG00000023572	55	41	73	45	60	43
ENSG00000023608	182	183	167	112	132	119
ENSG00000023697	298	325	327	229	382	242
ENSG00000023734	1831	2012	1995	1224	1549	1278
ENSG00000023839	58	173	157	239	547	270
ENSG00000023892	38	47	53	25	30	21
ENSG00000023902	493	442	446	252	311	290
ENSG00000023909	136	182	193	152	203	132
ENSG00000024048	963	995	1299	807	1176	897
ENSG00000024422	23	15	20	11	25	15
ENSG00000024526	578	569	683	287	395	361
ENSG00000024862	147	203	194	140	212	149
ENSG00000025039	924	986	1048	822	1082	725
ENSG00000025156	700	705	730	448	503	467
ENSG00000025293	595	552	675	388	561	477
ENSG00000025423	16	8	11	11	14	11
ENSG00000025434	221	290	320	271	392	252
ENSG00000025708	61	70	66	58	73	54
ENSG00000025770	495	562	549	311	448	316
ENSG00000025772	622	614	648	385	527	437
ENSG00000025796	431	500	503	338	417	329
ENSG00000025800	1675	1678	1909	1320	1623	1319
ENSG00000026025	6519	7119	6686	4791	7092	5491
ENSG00000026036	37	47	42	12	33	16
ENSG00000026103	60	37	38	20	25	26
ENSG00000026297	160	156	202	81	101	91
ENSG00000026508	12	7	19	9	31	10
ENSG00000026559	66	57	57	19	38	35
ENSG00000026652	480	516	654	409	615	421
ENSG00000026751	5	3	10	0	8	5
ENSG00000026950	209	205	239	183	235	192
ENSG00000027001	292	324	348	283	364	293
ENSG00000027075	23	22	31	15	27	25
ENSG00000027644	11	4	22	11	12	19
ENSG00000027697	434	475	518	363	434	351
ENSG00000027847	216	241	254	201	243	169
ENSG00000027869	16	8	8	14	10	11
ENSG00000028116	242	241	206	141	189	141
ENSG00000028137	7	13	12	7	5	9
ENSG00000028203	1271	1289	1402	929	1193	851
ENSG00000028277	12	25	37	22	31	30
ENSG00000028310	554	613	648	402	511	411
ENSG00000028528	955	993	1142	798	1016	811
ENSG00000028839	223	217	271	153	193	182
ENSG00000029153	198	205	241	147	253	150
ENSG00000029363	3723	3606	3894	2524	3314	2550
ENSG00000029364	1685	1771	1884	1319	1779	1392
ENSG00000029534	50	35	82	24	54	40
ENSG00000029559	4	0	3	1	2	4
ENSG00000029639	143	148	144	118	152	103
ENSG00000029725	1454	1328	1491	887	1143	918
ENSG00000029993	1534	1621	1712	1116	1492	1025
ENSG00000030066	1089	999	1243	688	872	690
ENSG00000030110	351	390	414	279	363	286
ENSG00000030304	3	1	17	1	20	8
ENSG00000030419	193	218	238	157	239	164
ENSG00000030582	1291	1865	1661	1306	1790	1282
ENSG00000031003	437	430	483	360	434	348
ENSG00000031081	191	157	151	101	172	109
ENSG00000031691	191	182	191	106	128	120
ENSG00000031698	1719	1647	1928	1124	1539	1210
ENSG00000031823	591	699	725	434	574	436
ENSG00000032219	375	419	467	348	456	333
ENSG00000032389	249	247	262	185	262	199
ENSG00000032444	405	461	475	300	405	312
ENSG00000032742	416	470	535	363	577	406
ENSG00000033011	126	165	136	103	159	116
ENSG00000033030	442	455	526	337	451	358
ENSG00000033050	864	827	954	585	796	630
ENSG00000033100	650	718	705	552	615	483
ENSG00000033122	47	38	81	37	59	54
ENSG00000033170	439	400	496	227	313	294
ENSG00000033178	1671	1486	1818	1058	1535	1247
ENSG00000033327	237	235	300	178	322	187
ENSG00000033627	586	714	851	727	984	705
ENSG00000033800	1016	1024	1095	633	855	730
ENSG00000033867	2148	1744	2246	970	1220	1202
ENSG00000034053	438	463	442	240	308	234
ENSG00000034152	100	100	96	67	108	68
ENSG00000034239	87	110	110	96	90	68
ENSG00000034510	6429	7311	6999	4840	7937	5137
ENSG00000034533	152	171	156	119	188	120
ENSG00000034677	607	682	701	546	854	592
ENSG00000034693	332	349	344	262	391	260
ENSG00000034713	584	662	691	448	560	472
ENSG00000034971	0	0	1	0	2	2
ENSG00000035115	597	681	797	553	792	561
ENSG00000035141	785	837	886	573	760	582
ENSG00000035403	1697	1752	1848	1095	1450	1220
ENSG00000035499	596	635	882	570	739	559
ENSG00000035664	60	37	67	23	43	30
ENSG00000035681	478	470	521	332	454	334
ENSG00000035687	589	602	706	477	617	502
ENSG00000035720	5	1	4	1	14	3
ENSG00000035862	414	433	455	281	428	263
ENSG00000035928	1646	1593	1877	1082	1410	1185
ENSG00000036054	572	692	716	475	645	548
ENSG00000036257	1156	1253	1322	840	1148	924
ENSG00000036448	225	170	268	86	116	112
ENSG00000036473	3	1	7	0	3	2
ENSG00000036530	35	25	35	25	23	30
ENSG00000036549	1605	1750	1847	1263	1732	1289378
ENSG00000036565	5	2	10	11	6	9
ENSG00000036672	67	76	63	47	60	49
ENSG00000037042	256	285	290	271	383	273
ENSG00000037241	324	440	384	252	358	256
ENSG00000037280	355	451	389	260	302	246
ENSG00000037474	846	762	906	552	722	568
ENSG00000037637	552	547	611	377	562	433
ENSG00000037749	580	605	717	447	651	503
ENSG00000037757	315	339	363	236	286	254
ENSG00000037897	103	109	94	53	84	55
ENSG00000037965	89	79	59	37	59	61
ENSG00000038002	136	160	181	142	217	136
ENSG00000038210	363	349	378	281	341	264
ENSG00000038219	1286	1231	1419	989	1181	951
ENSG00000038274	1375	1530	1653	993	1370	1129
ENSG00000038295	13	9	23	14	29	7
ENSG00000038358	694	800	794	532	716	565
ENSG00000038382	1514	1360	1576	1004	1452	1047
ENSG00000038427	9806	12649	13246	11289	15932	10815
ENSG00000038532	543	576	598	372	498	405
ENSG00000038945	17	11	33	18	31	21
ENSG00000039068	390	500	619	487	733	534
ENSG00000039123	1267	1237	1341	845	1197	956
ENSG00000039139	41	33	57	48	70	59
ENSG00000039319	2014	2020	2449	1561	1951	1539
ENSG00000039523	188	206	222	122	201	167
ENSG00000039537	12	20	28	50	149	61
ENSG00000039560	1282	1059	1176	576	769	722
ENSG00000039600	11	9	15	12	16	12
ENSG00000039650	329	376	398	267	326	257
ENSG00000039987	6	4	4	8	8	3
ENSG00000040199	384	411	398	276	335	251
ENSG00000040275	448	448	507	294	420	333
ENSG00000040341	944	1025	1289	763	1143	840
ENSG00000040487	173	188	141	115	157	119
ENSG00000040531	234	250	291	209	284	206
ENSG00000040608	36	54	32	16	19	13
ENSG00000040633	709	796	785	555	748	585
ENSG00000040731	71	56	90	47	46	53
ENSG00000040933	575	503	574	293	385	346
ENSG00000041353	40	42	70	45	62	51
ENSG00000041357	1665	1850	1780	1118	1428	1256
ENSG00000041515	55	44	55	29	54	24
ENSG00000041802	614	659	680	489	596	451
ENSG00000041880	115	179	145	120	154	120
ENSG00000041982	277	277	351	214	549	264
ENSG00000041988	201	218	240	187	209	138
ENSG00000042062	75	84	83	65	71	57
ENSG00000042088	623	627	669	388	553	427
ENSG00000042286	77	68	105	76	118	70
ENSG00000042304	2	0	4	2	4	3
ENSG00000042317	273	324	415	250	360	276
ENSG00000042429	728	748	777	558	686	546
ENSG00000042445	169	252	202	197	314	209
ENSG00000042493	384	324	430	283	419	257
ENSG00000042753	412	542	501	355	474	306
ENSG00000042781	47	28	53	27	55	48
ENSG00000042813	3	2	6	4	5	2
ENSG00000042832	17	12	40	14	34	22
ENSG00000042980	30	31	79	48	79	57
ENSG00000043039	15	6	13	9	20	6
ENSG00000043093	1312	1356	1472	907	1157	1007
ENSG00000043143	217	243	279	237	281	258
ENSG00000043355	126	122	132	118	173	113
ENSG00000043462	16	6	16	5	18	14
ENSG00000043514	374	440	408	274	347	242
ENSG00000043591	0	1	4	1	4	2
ENSG00000044012	0	0	2	0	0	1
ENSG00000044090	1468	1542	1665	1170	1579	1284
ENSG00000044115	5168	5961	5891	4206	5725	4411
ENSG00000044446	424	466	467	295	419	308
ENSG00000044459	359	268	393	193	301	233
ENSG00000044524	253	206	255	243	439	271
ENSG00000044574	1691	2077	2411	1366	1777	1520
ENSG00000046604	1751	1939	2030	1220	1610	1297
ENSG00000046647	163	166	182	132	181	147
ENSG00000046651	613	607	723	472	623	481
ENSG00000046653	230	200	289	160	224	148
ENSG00000046774	3	0	4	3	3	2
ENSG00000046889	288	191	289	154	190	165
ENSG00000047056	309	335	322	220	297	238
ENSG00000047188	611	626	730	467	597	456
ENSG00000047230	885	876	980	627	816	648
ENSG00000047249	600	658	685	488	661	459
ENSG00000047315	2081	1968	2161	1448	1884	1355
ENSG00000047346	254	282	302	235	254	159
ENSG00000047365	111	114	124	109	137	119
ENSG00000047410	3706	3447	4231	2454	3500	2593
ENSG00000047457	13	10	25	8	17	21
ENSG00000047578	502	488	531	409	496	409
ENSG00000047579	392	353	351	201	215	242
ENSG00000047597	36	46	47	25	27	33
ENSG00000047617	29	33	65	34	55	47
ENSG00000047621	318	332	346	200	293	258
ENSG00000047634	197	221	205	130	141	106
ENSG00000047644	375	360	387	256	332	248
ENSG00000047648	275	345	321	215	302	269
ENSG00000047662	13	5	22	2	10	18
ENSG00000047849	1555	1818	1864	1407	1932	1392
ENSG00000047932	1255	1288	1443	840	1044	871
ENSG00000047936	10	9	22	14	20	16
ENSG00000048028	616	660	901	432	705	565
