id	Cb1	Cb2	Cb3	Cm1	Cm2	Cm3
ENSG00000112130	260.0	321.2	329.8	367.6	408.9	374.4
ENSG00000203896	110.8	145.7	106.5	126.9	127.4	95.6
ENSG00000174145	123.8	132.8	98.3	113.9	113.2	100.5
ENSG00000213203	521.8	734.1	1040.2	180.2	171.6	168.9
ENSG00000267228	432.8	451.6	598.9	621.4	560.2	592.3
ENSG00000160211	106.7	118.3	106.8	107.2	100.1	104.4
ENSG00000140379	163.5	133.8	100.5	98.5	94.8	101.6
ENSG00000198276	133.6	131.7	123.5	117.2	116.3	100.0
ENSG00000156875	132.3	135.0	178.7	145.1	117.1	145.6
ENSG00000181284	105.2	93.8	110.5	92.6	89.0	92.1
ENSG00000136643	100.7	89.7	102.9	99.8	103.2	100.0
ENSG00000219545	99.7	94.4	88.9	112.1	113.8	121.8
ENSG00000283977	182.6	163.4	218.2	126.7	120.0	136.3
ENSG00000160410	111.1	128.0	124.7	92.8	96.2	90.0
ENSG00000244462	254.8	300.6	331.3	288.5	348.6	385.1
ENSG00000198743	121.0	155.9	113.0	139.9	125.9	146.1
ENSG00000188483	250.6	411.5	220.5	278.1	332.6	283.9
ENSG00000183741	1663.2	1484.9	1747.4	1814.4	1752.1	1610.6
ENSG00000129473	125.0	120.1	118.6	175.2	173.4	130.1
ENSG00000268975	171.1	185.1	137.0	169.9	193.3	281.2
ENSG00000235162	96.2	128.1	110.0	148.1	157.6	164.4
ENSG00000062370	104.0	92.8	101.6	100.0	121.2	124.3
ENSG00000225899	96.3	227.4	147.5	133.5	212.2	132.3
ENSG00000205710	111.5	108.8	89.3	94.1	94.5	97.0
ENSG00000261652	151.5	119.0	144.4	160.3	164.9	181.0
ENSG00000122574	97.0	115.2	95.4	87.0	80.9	82.9
ENSG00000183779	139.2	121.7	119.4	104.4	125.0	117.1
ENSG00000205659	140.8	117.5	141.7	125.0	123.8	145.2
ENSG00000198258	507.6	625.6	780.9	451.0	386.5	612.1
ENSG00000174080	281.0	327.8	250.2	540.1	451.6	558.1
ENSG00000178397	369.6	446.4	424.4	569.7	525.4	462.9
ENSG00000111432	200.5	267.9	310.9	570.8	572.9	682.5
ENSG00000211584	145.2	127.2	196.7	162.8	166.9	235.8
ENSG00000174744	163.8	253.9	206.5	144.9	141.7	137.5
ENSG00000177138	595.6	509.9	467.7	1206.4	1430.0	1037.4
ENSG00000185973	154.4	144.6	183.8	227.3	183.7	205.8
ENSG00000154582	248.3	338.5	282.2	466.1	404.9	515.8
ENSG00000167964	100.0	106.8	110.6	98.9	105.4	100.9
ENSG00000085415	270.2	238.4	228.8	245.6	261.8	232.2
ENSG00000213337	113.1	99.5	115.4	96.3	116.7	109.6
ENSG00000213588	327.1	347.8	408.5	480.4	441.7	452.7
ENSG00000121552	85.4	98.6	122.3	109.9	103.4	107.4
ENSG00000090316	266.2	184.2	237.4	197.9	213.7	188.1
ENSG00000099785	104.4	139.1	155.0	102.4	101.5	100.8
ENSG00000214367	688.9	587.7	418.0	650.1	624.3	472.9
ENSG00000242574	90.4	90.5	99.3	94.1	94.0	100.5
ENSG00000034510	1921.4	2032.7	2357.1	856.9	991.3	1130.7
ENSG00000005889	157.1	174.9	197.5	202.8	219.7	269.0
ENSG00000184634	179.7	150.2	160.8	192.2	173.0	128.7
ENSG00000102309	919.5	819.8	799.7	757.7	551.9	830.7
ENSG00000173465	130.1	117.4	144.3	112.0	126.0	127.0
ENSG00000075785	877.1	674.8	937.2	604.8	512.0	524.2
ENSG00000253797	237.2	158.8	151.5	286.9	285.5	234.7
ENSG00000069943	222.5	173.9	227.1	227.3	234.4	216.0
ENSG00000234469	119.2	118.8	130.7	113.1	114.0	123.4
ENSG00000156966	90.2	96.0	83.3	94.9	106.1	109.7
ENSG00000136840	122.0	116.4	101.6	97.4	94.4	98.4
ENSG00000241343	5516.8	4897.4	5068.7	4789.5	5204.5	6204.1
ENSG00000241553	388.3	387.9	472.9	176.1	171.5	202.2
ENSG00000101844	135.0	93.9	108.0	97.5	107.0	100.6
ENSG00000242689	109.6	98.1	134.9	93.0	94.3	98.1
ENSG00000183347	159.4	118.0	168.0	525.0	573.5	757.7
ENSG00000129048	94.0	95.9	111.3	93.5	94.7	90.8
ENSG00000182326	91.2	99.6	99.0	106.4	103.6	106.9
ENSG00000243477	103.8	100.3	97.7	99.6	93.6	99.3
ENSG00000186007	105.9	125.5	102.8	96.9	102.8	97.9
ENSG00000256060	107.2	103.6	124.5	96.4	96.9	93.7
ENSG00000123595	192.8	198.3	261.6	204.6	220.6	260.8
ENSG00000203724	180.5	124.8	164.6	249.3	210.0	224.7
ENSG00000100911	104.6	128.1	121.8	112.4	121.6	112.4
ENSG00000196199	146.4	148.2	146.2	151.4	154.3	117.6
ENSG00000186453	95.8	97.2	94.1	95.7	98.8	105.2
ENSG00000146839	98.5	104.4	107.5	142.0	135.0	101.0
ENSG00000144015	128.9	93.8	116.2	104.5	108.6	123.6
ENSG00000162757	102.6	133.9	125.6	96.0	95.5	120.6
ENSG00000136240	148.2	129.5	164.7	139.0	158.0	183.2
ENSG00000122512	128.2	119.6	143.8	123.5	126.8	119.3
ENSG00000149231	138.4	164.5	128.5	126.8	128.3	115.3
ENSG00000183340	119.4	110.5	148.2	110.5	122.7	145.0
ENSG00000145476	142.8	158.5	147.0	141.4	133.1	165.4
ENSG00000215251	245.6	185.0	305.0	332.9	389.7	482.0
ENSG00000171867	787.1	953.0	1332.0	266.7	359.5	282.6
ENSG00000100601	148.1	122.9	145.0	115.6	108.1	104.2
ENSG00000022567	110.9	105.2	114.2	222.8	174.1	219.2
ENSG00000119632	101.5	127.6	87.2	86.7	86.2	92.8
ENSG00000132432	947.0	836.1	979.5	1483.2	1275.1	1352.8
ENSG00000243667	281.4	253.0	318.4	278.2	221.3	265.0
ENSG00000241484	94.1	123.5	94.6	90.0	94.8	99.3
ENSG00000205560	116.9	131.0	110.7	106.3	107.7	96.3
ENSG00000000419	203.5	273.2	279.0	359.5	292.7	295.1
ENSG00000103111	226.2	206.6	309.0	163.3	187.1	175.8
ENSG00000237693	107.4	163.4	120.3	101.5	109.2	102.2
ENSG00000181218	107.1	136.3	106.2	101.3	105.8	109.2
ENSG00000105617	142.9	122.3	104.0	208.5	239.6	206.7
ENSG00000132507	2048.1	1708.2	1779.3	1533.6	1646.7	1423.0
ENSG00000108963	153.8	132.7	143.0	118.4	120.5	127.4
ENSG00000176731	1877.9	1361.0	1864.0	1981.5	1742.2	2058.5
ENSG00000186017	106.3	123.0	104.9	101.9	126.0	103.5
ENSG00000267120	157.9	207.8	142.0	148.6	170.8	119.2
ENSG00000249115	105.5	105.8	100.4	95.4	98.2	95.7
ENSG00000184277	131.3	122.2	126.6	98.6	93.0	100.9
ENSG00000108349	996.7	1281.3	1058.1	1250.5	1381.8	1052.4
ENSG00000173575	434.5	428.3	299.5	442.5	484.3	361.0
ENSG00000131475	701.8	965.4	770.9	473.2	427.1	416.6
ENSG00000176563	201.4	183.3	208.0	173.4	176.2	174.3
ENSG00000131467	446.8	199.2	348.5	322.4	417.8	317.8
ENSG00000131480	105.6	91.1	104.1	94.7	98.4	96.9
ENSG00000173838	104.0	110.9	126.7	101.7	92.8	98.0
ENSG00000108588	617.6	542.5	702.1	668.1	579.7	632.4
ENSG00000108604	1244.8	1069.1	1285.1	687.1	691.9	798.9
ENSG00000109332	606.7	680.1	668.1	669.7	654.6	801.5
ENSG00000224877	152.5	138.8	144.4	122.3	119.7	125.6
ENSG00000197982	112.3	114.1	119.3	121.1	114.1	122.8
ENSG00000127463	397.2	500.9	445.3	298.5	325.0	331.2
ENSG00000215695	478.0	333.7	303.8	337.1	377.6	328.4
ENSG00000142609	237.4	464.4	338.9	306.7	419.4	385.6
ENSG00000187642	134.1	96.9	112.6	119.4	94.9	101.6
ENSG00000146386	1240.3	1261.5	1506.2	874.5	918.0	1224.2
ENSG00000185250	92.1	90.7	88.3	101.2	91.9	101.5
ENSG00000095932	99.9	139.1	168.7	115.2	103.8	122.5
ENSG00000175215	622.4	811.1	805.6	929.5	876.6	926.2
ENSG00000205323	497.7	570.1	634.7	524.7	633.5	581.4
ENSG00000235169	124.3	129.8	129.0	126.1	114.4	126.6
ENSG00000169976	471.4	243.9	445.1	319.3	261.3	448.9
ENSG00000274791	338.1	434.1	351.6	419.6	388.2	487.2
ENSG00000185742	93.4	96.3	108.9	427.9	254.3	565.0
ENSG00000251493	95.4	87.2	101.5	360.8	323.8	380.9
ENSG00000198435	720.6	899.6	1000.4	115.2	142.4	144.1
ENSG00000187713	233.0	278.9	316.8	215.3	162.4	271.9
ENSG00000185236	333.8	372.6	461.7	419.3	370.5	458.8
ENSG00000124116	100.9	103.4	98.1	89.0	93.9	91.5
ENSG00000134308	1864.0	1839.3	1951.8	1501.7	1384.7	1506.2
ENSG00000124766	183.3	253.6	217.7	104.9	126.9	136.2
ENSG00000167468	743.5	689.2	708.5	448.1	435.1	495.5
ENSG00000198736	235.5	197.3	280.8	289.0	296.0	314.9
ENSG00000138018	115.0	111.9	118.7	122.6	116.0	131.6
ENSG00000131871	266.5	285.9	342.4	471.6	448.7	474.2
ENSG00000198843	842.1	717.1	746.7	545.5	467.7	496.5
ENSG00000014164	107.8	107.8	118.4	111.6	109.7	96.7
ENSG00000198740	376.7	323.2	323.1	256.4	329.5	276.8
ENSG00000197093	94.6	106.8	111.0	115.6	98.2	98.5
ENSG00000185189	180.0	118.8	101.3	768.5	495.5	174.6
ENSG00000173917	89.1	96.7	98.1	89.1	89.5	84.5
ENSG00000266967	338.2	291.3	366.7	233.1	253.6	296.9
ENSG00000120696	119.8	113.5	115.8	102.0	107.3	127.0
ENSG00000188243	243.7	475.9	304.7	290.1	238.8	257.0
ENSG00000178235	96.6	99.9	97.8	98.3	122.3	124.7
ENSG00000139133	300.9	266.7	341.1	339.5	264.2	412.0
ENSG00000213221	553.4	232.7	497.8	305.8	301.4	340.6
ENSG00000175283	241.1	226.4	357.1	206.3	200.7	266.4
ENSG00000187239	844.9	812.8	683.8	1084.6	1058.9	825.7
ENSG00000056586	913.1	850.5	995.2	1101.6	1061.7	1048.7
ENSG00000177519	108.9	90.3	94.3	684.5	784.1	866.7
ENSG00000181472	4084.2	4029.9	3824.3	4655.5	4773.2	3698.7
ENSG00000182263	121.9	229.1	107.7	144.3	131.6	141.0
ENSG00000204335	112.4	91.4	139.9	247.1	381.2	528.6
ENSG00000115935	821.0	581.3	990.8	724.2	787.1	832.6
ENSG00000196659	97.2	99.2	108.7	116.0	106.3	145.8
ENSG00000204311	93.0	114.9	97.8	100.2	87.9	99.3
ENSG00000203760	128.4	108.5	130.3	101.2	95.6	100.7
ENSG00000173706	602.9	653.3	638.6	193.3	204.6	225.9
ENSG00000160124	396.6	460.1	516.7	379.4	393.8	491.4
ENSG00000174276	596.5	688.9	616.1	475.4	574.1	685.8
ENSG00000241127	116.9	105.4	139.8	114.1	113.8	135.9
ENSG00000144815	116.6	101.9	122.8	97.5	101.7	105.3
ENSG00000273703	188.7	226.8	168.2	115.3	131.1	132.3
ENSG00000179431	111.3	119.0	91.5	189.1	286.8	290.2
ENSG00000148572	114.5	109.1	119.1	187.8	136.7	139.2
ENSG00000176971	88.1	104.7	105.0	90.7	92.3	91.5
ENSG00000166923	108.5	109.0	105.8	108.7	149.4	104.5
ENSG00000188647	235.3	263.6	267.3	296.1	325.4	306.9
ENSG00000187866	136.8	130.8	204.9	179.7	161.1	223.6
ENSG00000169105	304.5	351.8	247.0	321.3	309.7	401.6
ENSG00000137040	130.4	121.7	175.9	146.4	154.6	186.4
ENSG00000119917	166.9	181.6	185.4	176.8	177.3	157.9
ENSG00000183778	94.1	94.2	94.9	98.8	88.0	92.7
ENSG00000140264	1626.7	1574.5	2055.4	1286.3	1270.8	1393.5
ENSG00000198885	142.1	159.2	219.4	125.4	120.5	136.4
ENSG00000166189	117.4	100.8	140.8	110.5	136.3	162.8
ENSG00000139354	117.8	164.8	188.1	206.3	226.4	321.6
ENSG00000125877	273.2	303.5	335.9	277.2	268.8	346.3
ENSG00000113369	278.2	224.4	400.7	385.4	335.5	583.8
ENSG00000132622	1014.5	1416.6	1317.6	450.7	409.2	447.1
ENSG00000136040	98.5	130.8	95.1	97.4	98.0	99.0
ENSG00000177889	186.6	265.9	232.1	191.1	214.0	261.6
ENSG00000101230	225.7	206.8	155.5	322.1	300.6	373.1
ENSG00000232388	247.0	150.7	247.8	171.1	169.2	241.7
ENSG00000088970	298.7	348.3	317.9	437.8	483.5	408.5
ENSG00000253719	349.8	530.7	434.3	574.1	572.1	525.0
ENSG00000165650	766.6	629.6	657.9	762.3	742.9	691.4
ENSG00000178726	1003.7	1079.4	1393.5	140.9	99.8	178.6
ENSG00000228594	292.9	531.3	317.5	496.6	350.8	558.3
ENSG00000101266	210.9	231.0	315.3	204.0	278.5	313.4
ENSG00000247315	143.9	122.1	160.1	191.5	221.2	237.4
ENSG00000180383	96.5	93.3	117.2	102.3	98.5	111.1
ENSG00000155980	95.1	96.5	96.6	98.1	115.0	99.5
ENSG00000125977	270.7	219.8	317.7	292.2	258.1	340.8
ENSG00000214078	431.2	685.5	458.6	385.6	476.8	441.1
ENSG00000181449	93.5	102.4	95.4	92.9	94.6	89.7
ENSG00000151881	125.9	109.5	90.7	114.3	100.2	117.0
ENSG00000204103	175.9	150.0	279.3	125.4	158.7	167.0
ENSG00000124198	123.5	103.9	105.7	97.1	97.9	96.2
ENSG00000197980	100.5	106.0	107.1	117.4	130.7	134.5
ENSG00000164144	470.9	524.8	718.0	924.8	921.2	1210.1
ENSG00000167785	104.5	114.9	134.1	157.8	167.0	154.2
ENSG00000254726	327.3	329.0	302.7	426.5	411.8	391.6
ENSG00000161888	3678.7	3678.7	4317.7	4486.0	5170.0	4094.1
ENSG00000188643	252.0	344.3	365.1	101.1	90.3	101.7
ENSG00000197483	136.8	146.6	196.6	112.1	131.6	128.1
ENSG00000261221	215.4	203.6	187.9	161.0	151.6	153.7
ENSG00000188334	150.0	147.9	108.3	107.0	114.1	94.9
ENSG00000024422	133.5	109.8	118.9	120.2	107.2	105.3
ENSG00000159915	254.3	173.8	156.5	120.9	130.3	115.4
ENSG00000124459	99.7	98.0	167.5	125.3	142.0	147.5
ENSG00000105388	110.2	150.7	136.3	120.2	132.7	121.1
ENSG00000183324	110.1	97.3	111.1	110.6	106.1	109.7
ENSG00000175318	108.1	103.9	102.6	91.3	91.7	100.9
ENSG00000141977	94.8	83.4	92.3	92.4	83.2	80.4
ENSG00000138660	347.5	426.5	321.1	581.7	643.7	531.4
ENSG00000167642	107.1	124.3	98.6	387.4	435.8	595.4
ENSG00000161298	127.5	104.4	143.5	136.4	139.1	145.9
ENSG00000161281	100.3	90.9	97.8	94.3	100.5	101.3
ENSG00000164031	146.9	147.5	194.2	135.4	131.7	130.5
ENSG00000205138	291.9	426.0	576.6	278.4	318.2	475.2
ENSG00000196616	606.3	783.0	677.9	132.4	106.0	127.1
ENSG00000173875	94.4	93.6	91.4	96.5	98.7	100.4
ENSG00000166289	103.9	108.3	92.8	110.9	110.0	110.6
ENSG00000104951	126.7	108.2	109.9	99.3	119.1	116.7
ENSG00000142541	1057.5	1713.9	1132.9	981.8	1354.9	1350.5
ENSG00000198168	93.2	90.7	101.8	106.8	103.4	116.9
ENSG00000060688	177.2	194.8	253.6	162.9	186.6	222.5
ENSG00000103150	120.4	129.1	115.7	128.8	116.0	133.9
ENSG00000116903	181.5	219.1	331.0	177.5	218.0	272.7
ENSG00000172940	106.2	103.1	105.7	103.5	92.1	101.6
ENSG00000254550	106.4	108.0	103.2	91.0	94.7	95.3
ENSG00000137563	170.5	126.2	152.2	165.7	127.0	184.5
ENSG00000177105	177.4	185.4	183.3	104.8	106.0	101.5
ENSG00000167333	273.0	274.1	153.5	272.8	162.3	138.1
ENSG00000137070	3152.9	3292.3	3419.9	4748.1	5068.7	4467.6
ENSG00000213927	124.7	110.6	120.5	242.0	248.0	206.2
ENSG00000178952	415.6	406.6	487.8	347.5	344.2	394.6
ENSG00000147883	111.5	105.0	102.3	87.4	84.3	95.8
ENSG00000088035	113.8	193.9	135.7	167.5	145.7	157.1
ENSG00000285839	714.3	498.4	737.1	313.9	368.9	461.7
ENSG00000162456	90.2	92.7	90.1	90.4	89.3	92.0
ENSG00000214193	447.6	336.0	405.6	347.3	391.0	332.8
ENSG00000142686	138.8	89.2	143.1	146.9	147.3	170.6
ENSG00000214642	111.1	141.9	135.0	107.9	110.8	103.6
ENSG00000168216	134.8	99.6	114.1	108.9	114.4	128.4
ENSG00000175279	227.0	174.7	168.4	156.5	144.9	170.4
ENSG00000162413	421.0	392.9	462.0	530.1	569.7	396.4
ENSG00000205116	106.0	230.6	188.5	127.8	103.0	112.3
ENSG00000197121	96.7	99.3	113.8	114.3	120.6	120.8
ENSG00000115541	1747.4	1880.0	1811.1	1911.7	2133.0	2371.0
ENSG00000144426	147.8	129.9	137.8	147.1	126.0	128.5
ENSG00000085449	514.6	569.0	605.3	285.5	259.1	263.6
ENSG00000099246	283.7	251.2	372.3	228.7	233.4	268.9
ENSG00000153832	92.4	107.8	98.0	101.7	94.5	95.5
ENSG00000172428	1813.3	1697.7	1605.1	1974.3	1725.0	2053.2
ENSG00000279686	728.9	718.6	841.7	84.8	93.1	96.0
ENSG00000113248	452.0	382.7	517.9	530.0	455.4	729.6
ENSG00000204928	104.7	109.7	110.8	91.5	97.8	99.9
ENSG00000268223	157.8	173.5	187.4	283.2	276.0	279.6
ENSG00000184838	92.0	89.1	104.2	114.0	121.8	119.1
ENSG00000151292	301.6	297.6	390.0	438.0	434.3	492.4
ENSG00000116183	99.6	96.2	99.2	101.9	95.0	96.0
ENSG00000163565	124.2	108.2	141.6	180.7	184.2	200.9
ENSG00000130363	366.5	352.3	350.6	371.8	399.1	375.2
ENSG00000197774	476.8	625.5	332.3	414.2	376.5	314.5
ENSG00000103024	197.1	203.2	220.1	270.6	223.7	265.6
ENSG00000161996	107.1	112.9	109.2	130.7	154.0	108.1
ENSG00000242173	93.6	95.6	105.2	110.1	105.6	101.2
ENSG00000133250	118.4	127.8	138.2	146.9	141.8	113.6
ENSG00000204228	867.3	543.7	625.5	1160.2	1122.8	885.3
ENSG00000179344	112.4	112.8	99.0	109.3	101.7	93.6
ENSG00000244355	112.6	182.0	124.8	89.9	92.3	93.2
ENSG00000196368	132.3	98.0	118.1	207.2	174.2	199.5
ENSG00000173275	216.3	213.1	287.2	442.4	499.9	450.9
ENSG00000269556	152.3	173.6	250.8	138.8	163.7	179.0
ENSG00000157856	93.5	105.7	127.3	98.2	105.3	92.7
ENSG00000094841	395.0	389.5	488.2	316.7	329.6	351.2
ENSG00000168899	203.8	161.3	207.7	91.9	91.3	93.6
ENSG00000125962	113.6	116.2	134.9	126.2	129.5	137.3
ENSG00000158301	144.5	112.1	153.5	439.8	465.8	441.5
ENSG00000198908	270.8	731.1	550.8	564.3	601.3	681.0
ENSG00000184227	258.8	296.7	252.3	800.8	752.9	829.5
ENSG00000109610	95.5	89.1	98.2	93.4	95.6	96.3
ENSG00000170448	115.8	131.4	112.8	134.5	144.9	124.6
ENSG00000163602	190.0	255.4	293.0	229.5	211.7	221.6
ENSG00000099814	121.0	198.6	132.3	1199.7	1077.1	1011.9
ENSG00000004846	155.0	194.1	145.7	167.9	183.6	170.3
ENSG00000111678	837.0	941.6	1040.8	705.1	698.5	857.2
ENSG00000111644	125.7	153.1	115.6	118.1	138.6	96.0
ENSG00000204583	106.9	100.4	108.8	96.7	92.3	86.5
ENSG00000256537	435.5	468.0	609.2	460.2	519.4	510.9
ENSG00000133678	119.0	103.7	139.9	109.9	132.0	164.0
ENSG00000260596	101.4	100.1	112.2	114.9	109.2	107.1
ENSG00000175395	185.0	129.6	194.2	612.5	487.8	578.5
ENSG00000141378	5370.4	5370.4	4897.4	4816.0	4726.9	3991.7
